,cur,id,lemma,pos,space,Prob1,Prob2,segId
132,591,133,का,PSP, ,-50,-50,9
133,594,134,मुताबिक,JJ, ,-50,-50,9
134,602,135,हत्या,NN, ,-50,-50,9
135,610,136,का,PSP, ,-50,-50,9
136,613,137,मकसद,NN, ,-50,-50,9
137,618,138,यह,VM, ,-50,-50,9
138,621,139,था,VAUX, ,-50,-50,9
139,624,140,कि,CC, ,-50,-50,9
140,627,141,नौरिस,NN, ,-50,-50,9
141,633,142,को,PSP, ,-50,-50,9
142,636,143,पुराना,JJ, ,-50,-50,9
143,643,144,वृद्ध,NN, ,-50,-50,9
144,649,145,लोग,NN, ,-50,-50,9
145,655,146,का,PSP, ,-50,-50,9
146,658,147,साथ,NST, ,-50,-50,9
147,662,148,काम,NN, ,-50,-50,9
148,666,149,कर,VM, ,-50,-50,9
149,671,150,पसंद,NN, ,-50,-50,9
150,676,151,नहीं,NEG, ,-50,-50,9
151,681,152,था,VM, ,-50,-50,9
152,683,153,,SYM,,-50,-50,9
153,685,154,उसने,PRP, ,-50,-50,10
154,690,155,दिल,NN, ,-50,-50,10
155,694,156,का,PSP, ,-50,-50,10
156,697,157,समस्या,NN, ,-50,-50,10
157,706,158,से,PSP, ,-50,-50,10
158,709,159,पीड़ित,JJ, ,-50,-50,10
159,716,160,कमजोर,JJ, ,-50,-50,10
160,722,161,और,CC, ,-50,-50,10
161,725,162,बूढ़ी,XC, ,-50,-50,10
162,731,163,महिला,NN, ,-50,-50,10
163,739,164,का,PSP, ,-50,-50,10
164,742,165,जान,NN, ,-50,-50,10
165,746,166,ले,VM, ,-50,-50,10
166,749,167,था,VAUX, ,-50,-50,10
167,751,168,,SYM,,-50,-50,10
168,753,169,वह,PRP, ,-50,-50,11
169,756,170,सब,QF, ,-50,-50,11
170,759,171,अस्पताल,NN, ,-50,-50,11
171,767,172,का,PSP, ,-50,-50,11
172,770,173,कर्मचारी,NN, ,-50,-50,11
173,782,174,का,PSP, ,-50,-50,11
174,785,175,ले,PSP, ,-50,-50,11
175,789,176,बड़ी,JJ, ,-50,-50,11
176,794,177,बोझ,NN, ,-50,-50,11
177,798,178,मान,VM, ,-50,-50,11
178,803,179,जा,VAUX, ,-50,-50,11
179,806,180,रह,VAUX, ,-50,-50,11
180,811,181,था,VAUX, ,-50,-50,11
181,814,182,,SYM,,-50,-50,11
