,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
74,keep,VERB,VB,385,75,-3.6615,-3.9723,4, 
75,inflation,NOUN,NN,390,76,-4.4393,-6.8359,4, 
76,and,CCONJ,CC,400,77,-1.6736,-5.4880,4, 
77,the,DET,DT,404,78,-1.3096,-2.7973,4, 
78,economy,NOUN,NN,408,79,-4.0726,-4.5351,4, 
79,under,ADP,IN,416,80,-3.3126,-7.0911,4, 
80,control,NOUN,NN,422,81,-3.6329,-5.3437,4, 
81,.,PUNCT,.,429,82,-1.4170,-4.5928,4,
82,to,PART,TO,431,83,-1.6934,-7.6140,5, 
83,make,VERB,VB,434,84,-3.2024,-3.5418,5, 
84,matter,NOUN,NNS,439,85,-4.1526,-5.9640,5, 
85,worse,ADJ,JJR,447,86,-4.2506,-5.8870,5, 
86,",",PUNCT,",",452,87,-1.3899,-5.1269,5,
87,escalate,VERB,VBG,454,88,-5.6630,-7.1880,5, 
88,price,NOUN,NNS,465,89,-4.0886,-7.4891,5, 
89,be,AUX,VBP,472,90,-2.4237,-5.3137,5, 
90,racing,VERB,VBG,476,91,-4.5844,-6.9150,5, 
91,ahead,ADV,RB,483,92,-4.3086,-7.1369,5, 
92,of,ADP,IN,489,93,-1.6306,-7.0120,5, 
93,salary,NOUN,NN,492,94,-4.7978,-6.3130,5, 
94,increase,NOUN,NNS,499,95,-4.4647,-6.5229,5, 
95,",",PUNCT,",",508,96,-1.3899,-5.5533,5,
96,especially,ADV,RB,510,97,-3.8515,-4.0979,5, 
97,that,PRON,DT,521,98,-3.1507,-5.3383,5, 
98,of,ADP,IN,527,99,-1.6306,-4.2904,5, 
99,nurse,NOUN,NNS,530,100,-4.6963,-5.9008,5, 
100,and,CCONJ,CC,537,101,-1.6736,-5.6614,5, 
101,other,ADJ,JJ,541,102,-2.9466,-3.9551,5, 
102,healthcare,NOUN,NN,547,103,-5.6880,-50,5, 
103,professional,NOUN,NNS,558,104,-4.7262,-6.9772,5, 
104,",",PUNCT,",",571,105,-1.3899,-5.6363,5,
105,who,PRON,WP,573,106,-2.7881,-3.4099,5, 
106,have,AUX,VBP,577,107,-2.4270,-4.1939,5, 
107,suffer,VERB,VBN,582,108,-4.3679,-5.3579,5, 
108,from,ADP,IN,591,109,-2.4844,-5.2013,5, 
109,the,DET,DT,596,110,-1.3096,-3.0184,5, 
110,government,NOUN,NN,600,111,-3.2998,-3.7123,5, 
111,'s,PART,POS,610,112,-2.1960,-4.3474,5,
112,insistence,NOUN,NN,613,113,-5.1853,-5.7815,5, 
113,that,SCONJ,IN,624,114,-2.0550,-5.7091,5, 
114,that,PRON,DT,629,115,-3.1507,-4.8798,5, 
115,in,ADP,IN,635,116,-1.8251,-4.5992,5, 
116,the,DET,DT,638,117,-1.3096,-2.3779,5, 
117,public,ADJ,JJ,642,118,-3.5136,-4.0663,5, 
118,sector,NOUN,NN,649,119,-4.1523,-4.8454,5, 
119,have,VERB,VBP,656,120,-2.4270,-6.5229,5, 
120,to,PART,TO,661,121,-1.6934,-3.4554,5, 
121,receive,VERB,VB,664,122,-4.2211,-4.7195,5, 
122,below,NOUN,NN,672,123,-3.9416,-50,5, 
123,salary,NOUN,NN,688,124,-4.7978,-50,5, 
124,increase,NOUN,NNS,695,125,-4.4647,-6.5229,5, 
125,.,PUNCT,.,704,126,-1.4170,-5.5159,5,
126,in,ADP,IN,706,127,-1.8251,-6.9772,6, 
127,addition,NOUN,NN,709,128,-4.7777,-50,6, 
128,to,ADP,IN,718,129,-1.6934,-5.3524,6, 
129,fuel,NOUN,NN,721,130,-4.4682,-5.9908,6, 
130,and,CCONJ,CC,726,131,-1.6736,-5.6213,6, 
131,food,NOUN,NN,730,132,-3.8196,-5.1752,6, 
132,",",PUNCT,",",734,133,-1.3899,-4.7750,6,
133,electricity,NOUN,NN,736,134,-4.5139,-5.7879,6, 
134,bill,NOUN,NNS,748,135,-4.6120,-6.3922,6, 
135,be,AUX,VBP,754,136,-2.4237,-5.9544,6, 
136,also,ADV,RB,758,137,-2.9993,-4.2895,6, 
137,soar,VERB,VBG,763,138,-5.4163,-50,6, 
138,.,PUNCT,.,770,139,-1.4170,-6.5726,6,
139,five,NUM,CD,772,140,-3.4892,-7.7901,7, 
140,out,ADP,IN,777,141,-2.9158,-7.2460,7, 
141,of,ADP,IN,781,142,-1.6306,-5.7409,7, 
142,the,DET,DT,784,143,-1.3096,-2.2331,7, 
143,six,NUM,CD,788,144,-3.6161,-4.8092,7, 
144,large,ADJ,JJS,792,145,-4.3318,-7.3922,7, 
145,supplier,NOUN,NNS,800,146,-4.8385,-7.4891,7, 
146,have,AUX,VBP,810,147,-2.4270,-6.5114,7, 
147,increase,VERB,VBN,815,148,-3.9786,-5.3123,7, 
148,they,PRON,PRP$,825,149,-2.6853,-5.7409,7, 
149,customer,NOUN,NNS,831,150,-4.2656,-5.6026,7, 
150,'s,PART,POS,840,151,-3.4118,-5.7689,7,
151,bill,NOUN,NNS,842,152,-4.6120,-6.3751,7, 
152,.,PUNCT,.,847,153,-1.4170,-5.4181,7,
