,cur,id,lemma,pos,space,Prob1,Prob2,segId
87,452,88,संघर्षरत,NN, ,-50,-50,4
88,461,89,है।,NN, ,-50,-50,4
89,465,90,इससे,PRP, ,-50,-50,5
90,470,91,भी,RP, ,-50,-50,5
91,473,92,बदतर,JJ, ,-50,-50,5
92,478,93,यह,PRP, ,-50,-50,5
93,481,94,है,VM, ,-50,-50,5
94,484,95,कि,CC, ,-50,-50,5
95,486,96,",",SYM,,-50,-50,5
96,488,97,बढ़ते,JJ, ,-50,-50,5
97,494,98,मूल्य,NN, ,-50,-50,5
98,500,99,का,PSP, ,-50,-50,5
99,503,100,तुल,NN, ,-50,-50,5
100,509,101,में,PSP, ,-50,-50,5
101,513,102,वेतन,NN, ,-50,-50,5
102,518,103,में,PSP, ,-50,-50,5
103,522,104,काफी,QF, ,-50,-50,5
104,527,105,का,PSP, ,-50,-50,5
105,530,106,बढ़ोत्तरी,NN, ,-50,-50,5
106,540,107,हो,VM, ,-50,-50,5
107,543,108,रह,VAUX, ,-50,-50,5
108,547,109,है,VAUX, ,-50,-50,5
109,549,110,",",SYM,,-50,-50,5
110,551,111,विशेष,JJ, ,-50,-50,5
111,557,112,रूप,NN, ,-50,-50,5
112,561,113,से,PSP, ,-50,-50,5
113,564,114,नर्सों,NN, ,-50,-50,5
114,571,115,और,CC, ,-50,-50,5
115,574,116,अन्य,JJ, ,-50,-50,5
116,579,117,स्वास्थ्य,XC, ,-50,-50,5
117,589,118,पेशेवरों,NN, ,-50,-50,5
118,598,119,का,PSP, ,-50,-50,5
119,601,120,वेतन,NN, ,-50,-50,5
120,605,121,",",SYM,,-50,-50,5
121,608,122,जो,PRP,  ,-50,-50,5
122,611,123,सरकार,NN, ,-50,-50,5
123,617,124,का,PSP, ,-50,-50,5
124,620,125,इस,DEM, ,-50,-50,5
125,623,126,अडियल,JJ, ,-50,-50,5
126,629,127,रूख,NN, ,-50,-50,5
127,633,128,से,PSP, ,-50,-50,5
128,636,129,ग्रसित,JJ, ,-50,-50,5
129,643,130,है,VM, ,-50,-50,5
130,647,131,कि,CC, ,-50,-50,5
131,650,132,सार्वजनिक,JJ, ,-50,-50,5
132,660,133,क्षेत्र,NN, ,-50,-50,5
133,668,134,में,PSP, ,-50,-50,5
134,672,135,कार्यरत,JJ, ,-50,-50,5
135,680,136,लोग,NN, ,-50,-50,5
136,686,137,का,PSP, ,-50,-50,5
137,689,138,वेतन,NN, ,-50,-50,5
138,694,139,में,PSP, ,-50,-50,5
139,698,140,महंगाई,NN, ,-50,-50,5
140,705,141,से,PSP, ,-50,-50,5
141,708,142,कम,QF, ,-50,-50,5
142,711,143,वृद्धि,NN, ,-50,-50,5
143,718,144,प्राप्त,JJ, ,-50,-50,5
144,726,145,होगी।,JJ, ,-50,-50,5
145,732,146,ईंधन,NN, ,-50,-50,6
146,737,147,और,CC, ,-50,-50,6
147,740,148,भोजन,NN, ,-50,-50,6
148,745,149,का,PSP, ,-50,-50,6
149,748,150,अलावा,PSP:?, ,-50,-50,6
150,753,151,",",SYM,,-50,-50,6
151,755,152,बिजली,NN, ,-50,-50,6
152,761,153,का,PSP, ,-50,-50,6
153,764,154,कीमत,NN, ,-50,-50,6
154,771,155,में,PSP, ,-50,-50,6
155,775,156,भी,RP, ,-50,-50,6
156,778,157,वृद्धि,NN, ,-50,-50,6
157,785,158,हो,VM, ,-50,-50,6
158,789,159,हैं।,JJ, ,-50,-50,6
159,794,160,छह,NN, ,-50,-50,7
160,797,161,में,PSP, ,-50,-50,7
161,801,162,ता,PSP, ,-50,-50,7
162,804,163,पांच,QC, ,-50,-50,7
163,809,164,सबसे,INTF, ,-50,-50,7
164,814,165,बड़े,NNP, ,-50,-50,7
165,819,166,आपूर्तिकर्ताओं,NN, ,-50,-50,7
166,834,167,ने,PSP, ,-50,-50,7
167,837,168,अपनी,PRP, ,-50,-50,7
168,842,169,कीमत,NN, ,-50,-50,7
169,849,170,में,PSP, ,-50,-50,7
170,853,171,वृद्धि,NN, ,-50,-50,7
171,860,172,कर,VM, ,-50,-50,7
172,863,173,दे,VAUX, ,-50,-50,7
173,866,174,है,VAUX, ,-50,-50,7
174,868,175,,SYM,,-50,-50,7
