,cur,id,lemma,pos,space,Prob1,Prob2,segId
64,329,65,नकारात्मक,JJ, ,-50,-50,3
65,339,66,संदेश,NN, ,-50,-50,3
66,345,67,दे,VM, ,-50,-50,3
67,350,68,है,VAUX, ,-50,-50,3
68,352,69,,NN,,-50,-50,3
69,354,70,दरअसल,CC,,-50,-50,4
70,360,71,चीन,NNP, ,-50,-50,4
71,364,72,ने,PSP, ,-50,-50,4
72,367,73,सूडान,NN, ,-50,-50,4
73,373,74,का,PSP, ,-50,-50,4
74,376,75,तेल,NN, ,-50,-50,4
75,380,76,क्षेत्र,NN, ,-50,-50,4
76,388,77,में,PSP, ,-50,-50,4
77,392,78,भारी,JJ, ,-50,-50,4
78,397,79,पूंजी,NN, ,-50,-50,4
79,403,80,निवेश,NN, ,-50,-50,4
80,409,81,कर,VM, ,-50,-50,4
81,412,82,रखा,VAUX, ,-50,-50,4
82,416,83,है,VAUX, ,-50,-50,4
83,418,84,,NN,,-50,-50,4
84,421,85,इसलिये,CC,,-50,-50,4
85,427,86,चीन,NNP, ,-50,-50,4
86,431,87,सूडान,NN, ,-50,-50,4
87,437,88,सरकार,NN, ,-50,-50,4
88,443,89,से,PSP, ,-50,-50,4
89,446,90,निरन्तर,RB, ,-50,-50,4
90,453,91,संपर्क,NN, ,-50,-50,4
91,460,92,बना,VM, ,-50,-50,4
92,465,93,हो,VAUX, ,-50,-50,4
93,469,94,है,VAUX, ,-50,-50,4
94,471,95,,JJ,,-50,-50,4
95,474,96,हेग,NN,,-50,-50,4
96,478,97,स्थित,JJ, ,-50,-50,4
97,484,98,अंतर्राष्ट्रीय,JJ, ,-50,-50,4
98,499,99,न्यायलय,NN, ,-50,-50,4
99,507,100,ने,PSP, ,-50,-50,4
100,510,101,मानवजाति,NN, ,-50,-50,4
101,519,102,का,PSP, ,-50,-50,4
102,522,103,विरुद्ध,JJ, ,-50,-50,4
103,530,104,अपराध,NN, ,-50,-50,4
104,536,105,कर,VM, ,-50,-50,4
105,541,106,का,PSP, ,-50,-50,4
106,544,107,ले,PSP, ,-50,-50,4
107,548,108,एक,QC, ,-50,-50,4
108,551,109,मंत्री,NN, ,-50,-50,4
109,558,110,का,PSP, ,-50,-50,4
110,561,111,खिलाफ,PSP:?, ,-50,-50,4
111,567,112,केस,NN, ,-50,-50,4
112,571,113,दर्ज,JJ, ,-50,-50,4
113,576,114,कर,VM, ,-50,-50,4
114,581,115,है,VAUX, ,-50,-50,4
115,583,116,,XC,,-50,-50,4
116,586,117,स्पीलबर्ग,NNP,,-50,-50,5
117,596,118,ने,PSP, ,-50,-50,5
118,599,119,अंतर्राष्ट्रीय,JJ, ,-50,-50,5
119,614,120,समुदाय,NN, ,-50,-50,5
120,621,121,से,PSP, ,-50,-50,5
121,624,122,सुलह,NN, ,-50,-50,5
122,629,123,का,PSP, ,-50,-50,5
123,632,124,रास्ता,NN, ,-50,-50,5
124,639,125,निकलवा,VM, ,-50,-50,5
125,648,126,का,PSP, ,-50,-50,5
126,651,127,अपील,NN, ,-50,-50,5
127,656,128,कर,VM, ,-50,-50,5
128,659,129,है,VAUX, ,-50,-50,5
129,661,130,,SYM,,-50,-50,5
130,663,131,उन्होंने,PRP, ,-50,-50,5
131,672,132,चीन,NNP, ,-50,-50,5
132,676,133,से,PSP, ,-50,-50,5
133,679,134,आग्रह,NN, ,-50,-50,5
134,685,135,कर,VM, ,-50,-50,5
135,690,136,है,VAUX, ,-50,-50,5
136,693,137,कि,CC, ,-50,-50,5
137,696,138,परेशानी,NN, ,-50,-50,5
138,704,139,से,PSP, ,-50,-50,5
139,707,140,निपट,VM, ,-50,-50,5
140,714,141,का,PSP, ,-50,-50,5
141,717,142,ले,PSP, ,-50,-50,5
142,721,143,चीन,NNP, ,-50,-50,5
143,725,144,कुछ,QF, ,-50,-50,5
144,729,145,और,CC, ,-50,-50,5
145,732,146,अधिक,QF, ,-50,-50,5
146,737,147,काम,NN, ,-50,-50,5
147,741,148,कर,VM, ,-50,-50,5
148,744,149,,NN,,-50,-50,5
