,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
71,how,SCONJ,WRB,434,72,-3.0995,-4.4759,4, 
72,the,DET,DT,438,73,-1.3096,-4.3319,4, 
73,world,NOUN,NN,442,74,-3.3313,-3.6531,4, 
74,work,VERB,VBZ,448,75,-3.9405,-6.8870,4, 
75,.,PUNCT,.,453,76,-1.4170,-4.9653,4,
76,sociologist,NOUN,NNS,455,77,-5.3760,-50,5, 
77,respond,VERB,VBD,468,78,-4.7646,-50,5, 
78,to,ADP,IN,478,79,-1.6934,-5.2155,5, 
79,this,DET,DT,481,80,-2.9991,-4.7131,5, 
80,change,NOUN,NNS,487,81,-3.8114,-5.1963,5, 
81,by,SCONJ,IN,495,82,-2.3879,-6.4009,5, 
82,try,VERB,VBG,498,83,-3.8409,-5.7547,5, 
83,to,PART,TO,505,84,-1.6934,-3.8986,5, 
84,understand,VERB,VB,508,85,-3.9170,-4.4237,5, 
85,what,PRON,WP,519,86,-2.7107,-5.1071,5, 
86,hold,VERB,VBZ,524,87,-4.6537,-7.0497,5, 
87,social,ADJ,JJ,530,88,-3.4716,-50,5, 
88,group,NOUN,NNS,537,89,-3.8076,-5.5674,5, 
89,together,ADV,RB,544,90,-3.6148,-6.6287,5, 
90,and,CCONJ,CC,553,91,-1.6736,-4.8876,5, 
91,also,ADV,RB,557,92,-2.9993,-4.3169,5, 
92,explore,VERB,VBG,562,93,-5.0817,-7.1369,5, 
93,possible,ADJ,JJ,572,94,-3.5641,-7.3922,5, 
94,solution,NOUN,NNS,581,95,-4.6865,-6.3277,5, 
95,to,ADP,IN,591,96,-1.6934,-5.4331,5, 
96,the,DET,DT,594,97,-1.3096,-2.6734,5, 
97,breakdown,NOUN,NN,598,98,-4.9307,-5.5265,5, 
98,of,ADP,IN,608,99,-1.6306,-5.3587,5, 
99,social,ADJ,JJ,611,100,-3.4716,-4.4060,5, 
100,solidarity,NOUN,NN,618,101,-5.0501,-6.5348,5, 
101,.,PUNCT,.,628,102,-1.4170,-6.0304,5,
102,the,DET,DT,630,103,-1.3096,-6.3922,6, 
103,term,NOUN,NN,634,104,-3.9985,-4.5884,6, 
104,sociology,NOUN,NN,639,105,-4.8027,-50,6, 
105,be,AUX,VBD,649,106,-2.1449,-7.0497,6, 
106,coin,VERB,VBN,653,107,-5.6949,-6.4379,6, 
107,by,ADP,IN,660,108,-2.3879,-6.4679,6, 
108,Auguste,PROPN,NNP,663,109,-5.5034,-7.0911,6, 
109,Comte,PROPN,NNP,671,110,-6.0084,-7.0911,6, 
110,(,PUNCT,-LRB-,677,111,-2.4961,-7.3922,6,
111,1798,NUM,CD,678,112,-5.9772,-6.8870,6,
112,-,SYM,SYM,682,113,-4.6684,-50,6,
113,1857,NUM,CD,683,114,-5.6949,-50,6,
114,),PUNCT,-RRB-,687,115,-2.4896,-6.7689,6,
115,in,ADP,IN,689,116,-1.8251,-4.3381,6, 
116,1838,NUM,CD,692,117,-5.7607,-6.0955,6, 
117,from,ADP,IN,697,118,-2.4844,-50,6, 
118,the,DET,DT,702,119,-1.3096,-3.0184,6, 
119,Latin,ADJ,JJ,706,120,-4.6562,-5.4869,6, 
120,term,NOUN,NN,712,121,-3.9985,-7.3922,6, 
121,socius,NOUN,NN,717,122,-50,-50,6, 
122,(,PUNCT,-LRB-,724,123,-2.4961,-50,6,
123,companion,NOUN,NN,725,124,-4.8928,-7.7901,6,
124,",",PUNCT,",",734,125,-1.3899,-5.7002,6,
125,associate,NOUN,NN,736,126,-5.0120,-6.5597,6, 
126,),PUNCT,-RRB-,745,127,-2.4896,-7.3922,6,
127,and,CCONJ,CC,747,128,-1.6736,-3.7078,6, 
128,the,DET,DT,751,129,-1.3096,-2.7973,6, 
129,Greek,ADJ,JJ,755,130,-4.5489,-5.0942,6, 
130,term,NOUN,NN,761,131,-3.9985,-50,6, 
131,logia,NOUN,NN,766,132,-50,-50,6, 
132,(,PUNCT,-LRB-,772,133,-2.4961,-50,6,
133,study,NOUN,NN,773,134,-3.7516,-7.2460,6,
134,of,ADP,IN,779,135,-1.6306,-4.3769,6, 
135,",",PUNCT,",",781,136,-1.3899,-4.4962,6,
136,speech,NOUN,NN,783,137,-4.2041,-6.0577,6, 
137,),PUNCT,-RRB-,789,138,-2.4896,-6.4190,6,
138,.,PUNCT,.,790,139,-1.4170,-3.1255,6,
