,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
62,vulnerable,ADJ,JJ,405,63,-4.7104,-5.7945,3, 
63,country,NOUN,NNS,416,64,-3.8720,-7.6140,3, 
64,of,ADP,IN,426,65,-1.6306,-5.3277,3, 
65,the,DET,DT,429,66,-1.3096,-2.2331,3, 
66,world,NOUN,NN,433,67,-3.3313,-3.6531,3, 
67,have,AUX,VBP,439,68,-2.4270,-5.9576,3, 
68,contribute,VERB,VBN,444,69,-4.7384,-5.5584,3, 
69,the,DET,DT,456,70,-1.3096,-6.7487,3, 
70,least,ADJ,JJS,460,71,-4.3710,-4.7365,3, 
71,to,ADP,IN,466,72,-1.6934,-6.3130,3, 
72,climate,NOUN,NN,469,73,-4.6471,-6.8870,3, 
73,change,NOUN,NN,477,74,-3.5926,-5.7710,3, 
74,",",PUNCT,",",483,75,-1.3899,-4.7499,3,
75,but,CCONJ,CC,485,76,-2.4425,-2.8235,3, 
76,be,AUX,VBP,489,77,-2.4237,-4.9070,3, 
77,bear,VERB,VBG,493,78,-4.6455,-6.8870,3, 
78,the,DET,DT,501,79,-1.3096,-5.5766,3, 
79,brunt,NOUN,NN,505,80,-5.7527,-5.8870,3, 
80,of,ADP,IN,511,81,-1.6306,-5.8633,3, 
81,it,PRON,PRP,514,82,-2.0678,-3.8732,3, 
82,.,PUNCT,.,516,83,-1.4170,-3.2914,3,
83,develop,VERB,VBG,518,84,-4.3009,-50,4, 
84,country,NOUN,NNS,529,85,-3.8720,-5.1111,4, 
85,",",PUNCT,",",538,86,-1.3899,-4.6944,4,
86,in,ADP,IN,540,87,-1.8251,-3.2399,4, 
87,particular,ADJ,JJ,543,88,-3.7444,-5.2987,4, 
88,",",PUNCT,",",553,89,-1.3899,-6.0537,4,
89,need,VERB,VBP,555,90,-3.3540,-5.4967,4, 
90,to,PART,TO,560,91,-1.6934,-3.7495,4, 
91,adapt,VERB,VB,563,92,-5.0924,-5.3159,4, 
92,to,ADP,IN,569,93,-1.6934,-5.5046,4, 
93,the,DET,DT,572,94,-1.3096,-2.6734,4, 
94,effect,NOUN,NNS,576,95,-4.0592,-4.5440,4, 
95,of,ADP,IN,584,96,-1.6306,-4.4167,4, 
96,climate,NOUN,NN,587,97,-4.6471,-5.9977,4, 
97,change,NOUN,NN,595,98,-3.5926,-5.7710,4, 
98,.,PUNCT,.,601,99,-1.4170,-4.5623,4,
99,adaptation,NOUN,NN,603,100,-5.2007,-50,5, 
100,and,CCONJ,CC,614,101,-1.6736,-6.4784,5, 
101,mitigation,NOUN,NN,618,102,-6.0618,-7.4891,5, 
102,effort,NOUN,NNS,629,103,-4.3496,-50,5, 
103,must,AUX,MD,637,104,-3.2451,-6.9772,5, 
104,therefore,ADV,RB,642,105,-3.7297,-5.5288,5, 
105,go,VERB,VB,652,106,-3.1506,-7.0911,5, 
106,hand,NOUN,NN,655,107,-3.5663,-6.1617,5, 
107,in,ADP,IN,660,108,-1.8251,-5.0069,5, 
108,hand,NOUN,NN,663,109,-3.5663,-4.9745,5, 
109,.,PUNCT,.,667,110,-1.4170,-4.4271,5,
