segment_id,src_text,tgt_text,fin_text,participant,task_id,task_type,task_number,mt_system,segment_count,bleu_score,ter_score,chrf_score,latest_google_trans,latest_bleu_score
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","चीनी सरकार को हड़बने हेतु निश्चित रूप से एक इशारा है, दारफुर में सूडान पॉलिसी के लिए चीन द्वारा समर्थन के खिलाफ विरोध करने के लिए स्टीवन स्पीलबर्ग को बीजिंग ओलंपिक से बाहर खींच लिया गया.",P11,P3,P,3,google,5,29.2556589842991,58.333333333333336,56.758774571545715,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",13.6321344262584
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","एक इशारा यकीन है कि चीनी सरकार को हिलाने के लिए, दारफुर में चीन द्वारा सूडान नीति के समर्थन के खिलाफ विरोध हेतु स्टीवन स्पीलबर्ग ने बीजिंग ओलंपिक से अपनी भागीदारी से हाथ बाहर खींच लिया.",P15,P3,P,3,google,5,31.459682640738706,52.77777777777778,56.60480872641902,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",14.063087384835196
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","हाव- भाव़ जिससे निश्चित ही चीनी सरकार लडखडा गई़, स्टीवन स्पीलबर्ग को दारफुर में सूडान की नीति को चीन द्वारा समर्थन करने का विरोध करने के लिए बीजिंग ओलंपिक से निकाल लिया गया।",P17,P3,P,3,google,5,9.619480427125012,72.72727272727273,39.74331962806936,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",22.028493065568128
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","दारफुर में सूडान की नीति को चीन का समर्थन देने के विरोध में स्टीवन स्पीलबर्ग ने बीजिंग ओलंपिक्स से अपने हाथ खींच लिए हैं, यह एक ऐसा कदम है जिससे चीन की सरकार में हड़कंप मच सकता है.",P21,P3,P,3,google,5,3.081559375935981,84.21052631578947,36.56542266944033,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",16.589769873556865
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","उनके अलग होने से डारफुर में संघर्ष का परचम बुलंद हुआ और चीन के लिए शर्मिंदगी का विषय बना, जिसकी मांग है कि सूडानी सरकार के साथ घनिष्ठ संबंधों में नकारात्मक परिणाम आने से बचा जाए.",P01,P3,P,3,google,5,13.297818013585355,86.11111111111111,42.11529913092145,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",12.729992303943352
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","उसने इस तरह से अपनी प्रतिभागिता वापस लेने का कदम Darfur में चीन सरकार के प्रति बढ़ते विद्रोह के मध्य उठाया, जिसका उद्देश्य था सरकार को यह एहसास दिलाना कि सुडान की सरकार के साथ चीन का गठबंधन गलत है।",P04,P3,P,3,google,5,5.087784289229501,90.0,24.666658698574395,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",4.716941278335432
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","उल्लेखनीय है दारफुर में दोबारा हुए हमले की आग को देखते हुए चीन ने स्पीलबर्ग को बाहर का रास्ता दिखाया है, क्योंकि उक्त घटना चीन को शर्मिंदा कर रही थी और यह सूडानी सरकार के साथ चीन के घनिष्ठ संबंध पर नकारात्मक प्रभाव डाल रहीं थी।",P10,P3,P,3,google,5,7.488478145715982,86.95652173913044,31.328351744773542,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",10.08003863237879
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","उनकी वापसी से दारफुर में फिर से लड़ने की हिम्मत आई और चीन को शर्मिंदा होना पड़ा, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है.",P11,P3,P,3,google,5,48.72952970685289,61.76470588235294,68.4475285852226,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",34.94961806321819
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","उनकी वापसी दारफुर में शुरू हुई लड़ाई का जवाब है और चीन, जो कि सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए तैयार है.",P15,P3,P,3,google,5,57.77222625271929,36.11111111111111,72.05796276521245,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",43.248343691742335
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.",उन्होंने दारफुर में फिर से जंग होने के कारण अपने को बाहर रखा और इससे चीन को परेशानी होने वाली है जिससे सूडान सरकार के साथ घविष्ठ संबंध होने के कारण नकारात्मक बिखराव के थमने की अपेक्षा थी।,P17,P3,P,3,google,5,7.387254485071911,89.47368421052632,34.9445598075267,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",10.868081257715552
3,"His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.","उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है.","स्पीलबर्ग का ये कदम तब सामने आया जब दारफुर में एक बार फिर से लड़ाई शुरू हो गई है और इससे चीन को जरूर शर्मिंदगी होगी, चीन ने सूडानी सरकार के साथ घनिष्ठ संबंध होने के नकारात्मक नतीजे को रोकने की मांग की है.",P21,P3,P,3,google,5,26.800832820510575,79.54545454545455,48.63885917176698,"उनकी वापसी दारफुर में फिर से भड़की हुई लड़ाई के मद्देनजर आती है और चीन को शर्मिंदा करने के लिए तैयार है, जिसने सूडानी सरकार के साथ घनिष्ठ संबंध रखने से नकारात्मक नतीजों को रोकने की मांग की है।",22.863041652015436
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, उस सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग स्थित अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों में आरोपित मंत्री शामिल है.",P01,P3,P,3,google,5,48.37559849963351,33.33333333333333,74.13095577805186,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",55.986775884939384
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","क्योंकि चीन सरकार ने सुडान के तेल उद्योग में वृहत्त निवेश किया है, इसलिए वह सुडानी सरकार के साथ संबंध अच्छे रखना चाहते हैं, जिसमें एक ऐसा मंत्री भी है जिसपर हग्स की अंतर्राष्ट्रीय क्रिमीनल कोर्ट द्वारा मानवता के हनन का भी दोष है।",P04,P3,P,3,google,5,7.349806878276262,81.81818181818183,35.3608599716281,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",9.358947313003457
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","गौरतलब है सूडान के तेल उद्योग में चीन ने व्यापक निवेश किया है़ व तत्कालीन सूडानी सरकार के साथ निकट संबंध है, यह वही सरकार है, जिसकी सरकार में शामिल एक मंत्री को हेग स्थित अंतर्राष्ट्रीय अपराध न्यायालय द्वारा मानवता के खिलाफ अपराध के आरोपित किया गया है।",P10,P3,P,3,google,5,14.272785686513773,70.83333333333334,46.51957735156721,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",15.319810624899109
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","चीन, जिसने सूडानी तेल उद्योग में व्यापक निवेश किया है, सरकार से घनिष्ठ संबंध रखता है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगे मंत्री के साथ घनिष्ठ संबंध रखता है.",P11,P3,P,3,google,5,63.24612091098578,23.076923076923077,78.58616757718477,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",35.71036683155004
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","चीन, जिसका सूडानी तेल उद्दमों में व्यापक निवेश है, जो हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराध में आरोपों के साथ संलिप्त मंत्री भी शामिल है, जो कि सरकार के साथ घनिष्ठ संबंध रखता है.",P15,P3,P,3,google,5,43.71404536545811,36.84210526315789,71.69857192100952,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",40.387133135554514
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.","चीन, जिसने सूडानी तेल उद्योग में व्यापक निवेश किया हुआ है, सूडानी सरकार के साथ घनिष्ठ संबंध रखता है, जिनमें हैग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ आरोपित एक मंत्री भी शामिल है।",P17,P3,P,3,google,5,34.889388722622314,54.285714285714285,61.38492093066923,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",57.836037881934196
4,"China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague.","चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है.",सूडान के तेल उद्योग में व्यापक निवेश करने वाला चीन सूडान सरकार के साथ घनिष्ठ संबंध बनाए हुए है जिसमें कि एक मंत्री को हेग में अंतर्राष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों का दोषी भी शामिल है.,P21,P3,P,3,google,5,33.743621816719944,53.84615384615385,65.16041850570066,"चीन, जिसका सूडानी तेल उद्योग में व्यापक निवेश है, सरकार के साथ घनिष्ठ संबंध रखता है, जिसमें हेग में अंतर्राष्ट्रीय आपराधिक न्यायालय द्वारा मानवता के खिलाफ अपराधों का आरोप लगाया गया एक मंत्री भी शामिल है।",30.704370794373805
5,"Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.","इस बात पर जोर देते हुए कि हो रहे अत्याचारों के लिए खार्तूम अधिक जिम्मेदार है, स्पीलबर्ग ने समस्या समाप्त करने के लिए, अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन से और अधिक प्रयास किए जाने की अपील की.",P01,P3,P,3,google,5,19.81548517400263,71.7948717948718,52.434493644786926,"हालांकि इस बात पर जोर देते हुए कि खार्तूम इन चल रहे अत्याचारों के लिए बड़ी जिम्मेदारी वहन करता है, स्पीलबर्ग का कहना है कि अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन को पीड़ा को समाप्त करने के लिए और अधिक करना चाहिए।",40.56286073903132
5,"Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.","हालांकि इस बात पर बल देते हुए कि खार्तूम ही इन अत्याचारों के लिए सबसे अधिक जिम्मेदार है, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन को इस पीड़ा को समाप्त करने के लिए अधिक कारगर कदम उठाने चाहिए.",P04,P3,P,3,google,5,41.07272152208803,44.18604651162791,67.04045236969914,"हालांकि इस बात पर जोर देते हुए कि खार्तूम इन चल रहे अत्याचारों के लिए बड़ी जिम्मेदारी वहन करता है, स्पीलबर्ग का कहना है कि अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन को पीड़ा को समाप्त करने के लिए और अधिक करना चाहिए।",48.88536098743225
5,"Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.",हालांकि कहा जा रहा है कि यहां हो रहे इन अत्याचारों के लिए खार्तूम ने काफी जिम्मेदारी को वहन की है। स्पीलबर्ग कहते हैं कि अंतर्राष्ट्रीय समुदाय औऱ विशेष रूप से चीन को इस पीड़ा को समाप्त करने के लिए कुछ और अधिक करना चाहिए।,P10,P3,P,3,google,5,20.774875673221178,57.77777777777777,62.10772452374429,"हालांकि इस बात पर जोर देते हुए कि खार्तूम इन चल रहे अत्याचारों के लिए बड़ी जिम्मेदारी वहन करता है, स्पीलबर्ग का कहना है कि अंतर्राष्ट्रीय समुदाय और विशेष रूप से चीन को पीड़ा को समाप्त करने के लिए और अधिक करना चाहिए।",31.42170440607341
