,source,target,final,participant,task_number,segment_count,task_type
17,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाज विज्ञान एक अपेक्षाकृत नया﻿ शैक्षणिक अनुशासन है .यह आधुनिकता की चुनौतियों तक प्रतिक्रिया में जल्दी 19 शताब्दी में प्रकट हुआ . बढ़ता हुआ गतिशीलता और तकनीकी आगे बढ़ परिणत हो  बढ़ता हुआ प्रदर्शन की﻿ संस्कृति जीवाणु लोग और सोसाइटी भिन्न अपना स्वयं . प्रभाव के इस प्रदर्शन था परिवर्तित लेकिन के लिए कुछ लोग सम्मिलित खराबी का पारम्परिक मानक और प्रथा और वैध संशोधित समझ की कैसे  दुनिया कार्य . सोसायलोगिस्त्स ने कोशिश करके इन परिवर्तन से किन पकड़ से सामाजिक समझने की  उत्तर दिया और सामाजिक भाईचारे के ^﻿ खराबी के सम्भव समाधान | खराबी  के सम्भव समाधान को  भी अन्वेषण करता है . टर्म का समाज विज्ञान लातिन से 1838 में ऑगस्ट कॉम्टे के द्वारा टर्म सोसिउस साथी , सहायक , साथी और ग्रीकवासी टर्म लोगिआ भाषा का अध्ययन | भाषण का अध्ययन करिये .","समाज विज्ञान एक अपेक्षाकृत नया शैक्षणिक विषय है. आधुनिकता की चुनौतियों की प्रतिक्रिया स्वरूप इसका जन्म 19वीं शताब्दी के शुरुआती दिनों में हुआ. बढ़ती हुई गतिशीलता और तकनीकी उन्नति के परिणामस्वरूप लोगों की जानकारी अपने से भिन्न संस्कृतियों और समाजों के प्रति बढ़ रही है. इस प्रदर्शन का प्रभाव भिन्न-भिन्न था, लेकिन कुछ लोगों ने पारंपरिक नियमों और प्रथाओं के विघटन को इसमें शामिल किया और दुनिया कैसे चलती है, इसकी समझ को पुनः संशोधित किया. सामाजिक समूहों को क्या जोड़े रखता है, इसे समझने और सामाजिक भाईचारे के विघटन को रोकने के लिए यथा संभव समाधानों को खोजने की कोशिश करते हुए, समाजशास्त्रियों ने इन परिवर्तनों पर प्रतिक्रिया दी. 1838 में ऑगस्ट कॉम्टे (1798-1857) ने लातिन शब्द सोशियस (साथी, सहायक) और ग्रीक शब्द लोगिया (का अध्यन, भाषण) से समाज विज्ञान शब्द की खोज की.",P01,P5,6,P
18,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).",,"समाजशाष्त्र नए शैक्षिक वर्ग से संबंधित है. 19वीं सदी में आधुनिकता की चुनौतियों का सामना करने के लिए
समाजशाष्त्र विकसित हुआ. बढ़ती तकनीकि और सुविधाओं ने लोगों के सांस्कृतिक और सामाजिक परिवेश को बदला है. ये बदलाव पुरानी परंपराओं को तोड़कर आया है. लोग समझ रहे हैं कि आज का विश्व कैसे काम कर रहा है. समाजशाष्त्री ये समझने की कोशिश कर रहे हैं कि कैसे आज भी विभिन्न वर्ग के सामाजिक लोगों को साथ रखा जाए ताकि सामाजिक एकता का तानाबाना टूटने न पाए. समाजशाष्त्र शब्द का पहली बार प्रयोग अगस्त कोम्टे ने 1838 में किया था...ये शब्द लैटिन भाषा के सोशस ( जिसका अर्थ साथी होता है ) और ग्रीक भाषा का शब्द लोगिया ( जिसका अर्थ अध्ययन करना होता है ) से मिलकर बना है... ",P20,T5,6,T
19,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.",,"स्पीलबर्ग ने डार्फ़र मुद्दे पर बीजिंग को नकारा
स्पीलबर्ग के फ़ैसले से चीनी सरकार परेशान है क्योंकि उन्होंने डार्फ़र में सुडान की नीति पर चीन के समर्थन के विरोध में बीजिंग ओलंपिक से बाहर रहने का निर्णय लिया है। उनके बाहर रहने से डार्फ़र की लड़ाई को और बल मिला है और चीन की किरकिरी हुई है, जो कि सुडान सरकार के साथ अपने संबंधों को लेकर निंदा झेल रही है। सुडान के तेल उद्योग में बड़ी हिस्सेदारी रखने वाले चीन के सुडान सरकार के साथ घनिष्ठ संबंध हैं, जिसके एक मंत्री पर हैग में अंतर्राष्ट्रीय आपराधिक कोर्ट द्वारा मानवता के विरुद्ध अपराध का आरोप है। हालाँकि इस मौजूदा विपत्ति के लिए ख़ारतोम के ज़िम्मेदार होने पर ज़ोर दिया जा रहा है, ऐसे में स्पीलबर्ग का मानना है कि अंतर्राष्ट्रीय समुदाय, विशेष रूप से चीन को इस क्रूरता को ख़त्म करने के लिए आगे आना चाहिए।    ",P05,T3,5,T
20,"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean  technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand.","यद्यपि विकासशील देश निर्धन के लिये जीवन के अच्छे आदर्श प्राप्त करने का उनके अवसर समझौता करने के लिये बोधगम्यता से अनिच्छुक हैं , जलवायु के परिवर्तन पर कार्यवाही को आर्थिक विकास को धमकी देने की आवश्यक्ता नहीं है| प्रोत्साहन चाहिए हो प्रस्तावित तक प्रोत्साहित कर विकासशील देश तक जा अतिरिक्त हरा मील और औजार शुद्ध प्रौद्योगिकी और सका भी सहायता न्यूनतम कर उत्सर्जन से वनकटाई |दुनिया के कुछ अधिकांश असुरक्षित देशों ने जलवायु के न्यूमतम को परिवर्तन करते हुए सहयोग दिया है लेकिन इसका धक्का रख रहे हैं |विस्तृत विवरण में विकासशील देश , जलवायु के प्रभाव को अनुकूल बनाने के लिये आवश्यकता परिवर्तित होते हैं |अनुकूलन और अल्पीकरण के प्रयासों को हाथ में हाथ दिए हुए साथ अतः जाना चाहिये |","यद्यपि विकासशील देश निर्धनों के लिये जीवन के बेहतर मानकों को प्राप्त करने के उनके अवसरों से समझौता करने की बोधगम्यता से अनिच्छुक हैं, जलवायु परिवर्तन की कार्यवाही पर आर्थिक विकास को बरगलाने की आवश्यकता नहीं है| प्रोत्साहन राशि विकासशील देशों को हरितता और शुद्ध प्रौद्योगिकी बढ़ाने को प्रोत्साहित करने के लिए जरूरी है,  और वनों की कटाई से होने वाले उत्सर्जनों को न्यून करने में सहायता मिल सकेगी| दुनिया के कुछ अधिकांश असुरक्षित देशों ने जलवायु के न्यूमतम को परिवर्तन करते हुए सहयोग दिया है लेकिन इससे दुष्प्रभावित हो रहे हैं| विकासशील देशों को, विशेष रूप से, जलवायु के परिवर्तन के प्रभाव को अनुकूलित बनाने की आवश्यकता होती है| इसलिए अनुकूलन और अल्पीकरण के प्रयासों को हाथ में हाथ दिए हुए साथ जाना चाहिये |",P09,P4,5,P
21,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.",,"जीवन शैली में बढ़ रहे खर्चे से परिवार परेशान हैं.
भोज्य पदार्थों और ईंधन की कीमतों में पिछले 17 सालों की सबसे अधिक महंगाई के कारण ब्रिटिश परिवारों को 31,300 पाउंड प्रति वर्ष अतिरिक्त खर्च करना पड़ता है. पिछले साल सुपर बाज़ार में कीमतों में महंगाई अलार्म/खतरनाक दर से बढ़ी. विश्लेषकों ने चेतावनी दी है कि कीमतें अभी और बढ़ती रहेंगी, जिससे महंगाई रोकने और अर्थव्यवस्था को नियंत्रण में रखने के लिए जूझ रहे बैंक ऑफ़ ईंग्लैंड के लिए ब्याज दरों में कटौती करना मुश्किल हो गया है. इससे भी बुरा ये है कि कीमतों में बढ़ोतरी वेतन वृद्धि से अधिक है, विशेषकर नर्सों और स्वास्थ्य सेवा से जुड़े लोगों को, सरकार के इस बात पर अड़े रहने से कि सार्वजनिक सेवा से जुड़े लोगों के वेतन में महंगाई दर से कम इजाफा होगा, परेशानी का सामना करना पड़ रहा है. भोज्य पदार्थ और ईंधन के अतिरिक्त, बिजली के बिल भी बढ़ रहे हैं. छह सबसे बड़े आपूर्तिकर्ताओं में से पांच ने अपने ग्राहकों के बिल बढ़ा दिए हैं.",P01,T2,7,T
22,"The majority of hunter-gatherer societies are nomadic. It is difficult to be settled under such a subsistence system as the resources of one region can quickly become exhausted. Hunter-gatherer societies also tend to have very low population densities as a result of their subsistence system. Agricultural subsistence systems can support population densities 60 to 100 times greater than land left uncultivated, resulting in denser populations. Hunter-gatherer societies also tend to have non-hierarchical social structures, though this is not always the case. Because hunter-gatherers tend to be nomadic, they generally do not have the possibility to store surplus food. As a result, full-time leaders, bureaucrats, or artisans are rarely supported by hunter-gatherer societies.",,"शिकारी-खानाबदोश समुदाय में अधिकतर घुमंतू होते हैं। इस तरह के रहवास-तंत्र में बसना कठिन होता है क्योंकि एक क्षेत्र के संसाधन जल्द ही खत्म हो जाते हैं। अपने रहवास-तंत्र के कारण शिकारी-खानाबदोश समुदाय का जनघनत्व प्रायः कम होता है। खेती पर आधारित रहवास-तंत्र गैर-कृषि भूमि के 60 से 100 गुना अधिक जनसंख्या को आश्रय दे सकता है, जिससे जनघनत्व ज्यादा होता है। शिकारी-खानाबदोश समुदाय में पदानुक्रम पर आधारित सामाजिक संरचना नहीं होती है, हालांकि ऐसा हमेशा नहीं होता। क्योंकि शिकारी-खानाबदोश घुमंतू होते हैं इसलिए सामान्यतः उनके भोजन जमा करने की संभावना नहीं होती। अतः शिकारी-खानाबजोश समुदाय पूर्णकालिक नेता, प्रशासक और शिल्पकारों को प्रायः आश्रय नहीं देते।     ",P18,T6,7,T
23,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है
एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध. उनकी वापसी Darfur में फिर से जगमगाता हुआ लड़ रहा है और चीन, जो सूडानी सरकार के साथ घनिष्ठ संबंध होने से नकारात्मक नतीजा को रोकने की मांग की है शर्मिंदा करने के लिए सेट के बाद में आता है. चीन, जो सूडानी तेल उद्योग में व्यापक निवेश की सरकार है, जो एक हेग में अंतरराष्ट्रीय अपराध न्यायालय द्वारा मानवता के विरुद्ध अपराधों के साथ आरोप लगाया मंत्री शामिल के साथ घनिष्ठ संबंध रखता है. हालांकि कि खार्तूम बल के चल रहे इन अत्याचारों के लिए जिम्मेदारी की थोक भालू, स्पीलबर्ग का कहना है कि अंतरराष्ट्रीय समुदाय और विशेष रूप से चीन, अधिक करने के लिए पीड़ा को समाप्त करना चाहिए.
","दारफुर मसले पर स्पीलबर्ग ने बीझिंग को लाल कार्ड दिखाया
दारफूर मसले पर सूडानी नीति के लिए चीनी सरकार की लामबंदी के विरोध में प्रदर्शन करने के कारण स्टीवन स्पीलबर्ग को बीझिंग ओलंपिक से बाहर कर दिया गया है। उल्लेखनीय है दारफुर में दोबारा हुए हमले की आग को देखते हुए चीन ने स्पीलबर्ग को बाहर का रास्ता दिखाया है, क्योंकि उक्त घटना चीन को शर्मिंदा कर रही थी और यह सूडानी सरकार के साथ चीन के घनिष्ठ संबंध पर नकारात्मक प्रभाव डाल रहीं थी। गौरतलब है सूडान के तेल उद्योग में चीन ने व्यापक निवेश किया है़ व तत्कालीन सूडानी सरकार के साथ निकट संबंध है, यह वही सरकार है, जिसकी सरकार में शामिल एक मंत्री को हेग स्थित अंतर्राष्ट्रीय अपराध न्यायालय द्वारा मानवता के खिलाफ अपराध के आरोपित किया गया है। हालांकि कहा जा रहा है कि यहां हो रहे इन अत्याचारों के लिए खार्तूम ने काफी जिम्मेदारी को वहन की है। स्पीलबर्ग कहते हैं कि अंतर्राष्ट्रीय समुदाय औऱ विशेष रूप से चीन को इस पीड़ा को समाप्त करने के लिए कुछ और अधिक करना चाहिए।        
",P10,P3,5,P
24,"The majority of hunter-gatherer societies are nomadic. It is difficult to be settled under such a subsistence system as the resources of one region can quickly become exhausted. Hunter-gatherer societies also tend to have very low population densities as a result of their subsistence system. Agricultural subsistence systems can support population densities 60 to 100 times greater than land left uncultivated, resulting in denser populations. Hunter-gatherer societies also tend to have non-hierarchical social structures, though this is not always the case. Because hunter-gatherers tend to be nomadic, they generally do not have the possibility to store surplus food. As a result, full-time leaders, bureaucrats, or artisans are rarely supported by hunter-gatherer societies.","शिकारी फ़रमर समाजों के बहुमत खानाबदोश हैं. यह मुश्किल है इस तरह निर्वाह प्रणाली के तहत बस के रूप में एक क्षेत्र के संसाधनों को तेजी से समाप्त बन सकता है. शिकारी होकर समाज भी करने के लिए उनके निर्वाह प्रणाली का एक परिणाम के रूप में बहुत कम जनसंख्या घनत्व है करते हैं. कृषि निर्वाह सिस्टम जनसंख्या असभ्य छोड़ दिया, denser आबादी में जिसके परिणामस्वरूप देश की तुलना में 60 से 100 गुना अधिक से अधिक घनत्व का समर्थन कर सकते हैं. शिकारी होकर समाज भी गैर पदानुक्रमित सामाजिक संरचनाओं हो जाते हैं, हालांकि यह हमेशा मामला नहीं है. क्योंकि शिकारी gatherers के खानाबदोश हो जाते हैं, वे आम तौर पर अधिशेष भोजन की दुकान करने के लिए संभावना नहीं है. एक परिणाम के रूप में, पूर्णकालिक नेताओं, नौकरशाहों, या कारीगरों को शायद ही कभी शिकारी फ़रमर समाजों द्वारा समर्थित हैं.","शिकारी फ़रमर समाजों के बहुमत खानाबदोश हैं। यह मुश्किल है इस तरह की निर्वाह प्रणाली के तहत बस जाना जैसा कि एक क्षेत्र के संसाधनों को तेजी से समाप्त होना हो सकता है। शिकारी फ़रमर समाज भी उनके निर्वाह प्रणाली का एक परिणाम के रूप में बहुत कम जनसंख्या घनत्व रखना चाहते हैं। कृषि निर्वाह सिस्टम जनसंख्या घनत्व 60 से 100 गुना अधिक से अधिक असभ्य खेत छोड़ने का समर्थन कर सकते हैं जिसके परिणामस्वरुप denser आबादी है। शिकारी फ़रमर समाज भी गैर पदानुक्रमित सामाजिक संरचनाओं हो जाते हैं, हालांकि यह हमेशा मामला नहीं है। क्योंकि शिकारी फ़रमर खानाबदोश हो जाते हैं, वे आम तौर पर अधिशेष भोजन की दुकान करने के लिए संभावित नहीं है। एक परिणाम के रूप में, पूर्णकालिक नेताओं, नौकरशाहों, या कारीगरों को शायद ही कभी शिकारी फ़रमर समाजों द्वारा समर्थित किया जाता हैं।",P08,P6,7,P
25,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.",,"सपिलबर्ग डार्फर पर गहरे लाल रंग को दर्शाता है
एक हावभाव से चीन की सरकार में तंगी होने के भाव को, सटीव सपिलबर्ग ने बिजलिंग ऑलम्पिक को डार्फर में चीन के सुदान निति में साथ न देने के खिलाफ आंदोलन बताय़ा है। उसका पिछे हटना डार्फर में दोबारा य़ुद्ध का आगमन है तथा चीन को नीचा दिखाने की तैय़ारी है, जिसे सुदान सरकार से संधि को तोडकर बुरा संकेत दिय़ा है। चीन जिसका सुदान तेल उद्य़ोग में काफी निवेश है, सरकार से नजदीकी रिश्ता बना रहा है, जिनमें से एक मंत्री के खिलाफ हॉग की विश्व स्तर की अदालत में मानवता के खिलाफ जुर्म का मुकदमा चल रहा है। इन सब को बढावा देने के साथ खरतम बहुत सारी जिम्मेदारिय़ों को निभा रहा है, सपिलबर्ग विश्व स्तर के समुदाय़, तथक खासकर चीन के लिए कर रहा है ।    ",P07,T3,5,T
26,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).",,"सामाजिक विज्ञान शिक्षा का एक नया विषय है। यह 19वीं सदी की शुरुआत में आधुनिकता की समस्या के जवाब में आया। स्थानान्तरण का बढ़ना तथा तकनीकि बढ़ावा के परिणाम स्वरुप लोगों का अपने से अलग संस्कृति एवं समाज की ओर झुकाव बढ़ा है। इस बदलाव का प्रभाव भिन्न था, लेकिन कुछ लोगों के लिए पारंपरिक रीति एवं नियमों को तोड़ना तथा यह समझाना कि दुनिया का कैसे बदलते परिवेश में कार्य करना निहित है। सामाजिक विशेषज्ञ इन बदलावों इस प्रकार समझाने की कोशिश करते हैं कि क्या सामाजिक समूह को एक साथ रख पाता है तथा सामाजिक रुढ़िवादिता को तोड़ने का संभव सुझाव को भी विकसित करता है। सामाजिक विज्ञान शब्द अगस्ते कॉम्टे(1798-1857) के द्वारा 1838 में लैटिन शब्द  socius (companion,associate) तथा ग्रीक शब्द logia( study of,speech) से लिया गया है।",P08,T5,6,T
27,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाज विज्ञान एक अपेक्षाकृत नया﻿ शैक्षणिक अनुशासन है .यह आधुनिकता की चुनौतियों तक प्रतिक्रिया में जल्दी 19 शताब्दी में प्रकट हुआ . बढ़ता हुआ गतिशीलता और तकनीकी आगे बढ़ परिणत हो  बढ़ता हुआ प्रदर्शन की﻿ संस्कृति जीवाणु लोग और सोसाइटी भिन्न अपना स्वयं . प्रभाव के इस प्रदर्शन था परिवर्तित लेकिन के लिए कुछ लोग सम्मिलित खराबी का पारम्परिक मानक और प्रथा और वैध संशोधित समझ की कैसे  दुनिया कार्य . सोसायलोगिस्त्स ने कोशिश करके इन परिवर्तन से किन पकड़ से सामाजिक समझने की  उत्तर दिया और सामाजिक भाईचारे के ^﻿ खराबी के सम्भव समाधान | खराबी  के सम्भव समाधान को  भी अन्वेषण करता है . टर्म का समाज विज्ञान लातिन से 1838 में ऑगस्ट कॉम्टे के द्वारा टर्म सोसिउस साथी , सहायक , साथी और ग्रीकवासी टर्म लोगिआ भाषा का अध्ययन | भाषण का अध्ययन करिये .","समाज विज्ञान एक अपेक्षाकृत नया शैक्षणिक अनुशासन है। यह आधुनिकता की चुनौतियों की प्रतिक्रिया में 19 शताब्दी की शुरुआत में प्रकट हुआ। बढ़ती हुई गतिशीलता और तकनीकी के परिनामस्वरूप लोगों में बढ़ता एवं बदला हुआ संस्कृति और समाज का प्रदर्शन, जो उनका अपना नहीं है। इस प्रदर्शन का प्रभाव बिल्कुल अलग था, कुछ लोगों के लिये पारम्परिक मानकों एवं प्रथाओं की खराबी और दुनिया कैसे काम करती है इसको दोहराना था। समाजसुधारकों ने कोशिश करके हल निकाला कि क्या है जो सामाजिक समूहों को एक साथ रखता है और सामाजिक भाईचारे की खराबी के सम्भव समाधानों को भी खोजा। समाज विज्ञान, लातिन से 1838 में ऑगस्ट कॉम्टे के द्वारा सोसिउस (साथी, सहायक) और ग्रीक टर्म लोगिआ (भाषा का अध्ययन) से लिया गया है। ",P16,P5,6,P
28,"The majority of hunter-gatherer societies are nomadic. It is difficult to be settled under such a subsistence system as the resources of one region can quickly become exhausted. Hunter-gatherer societies also tend to have very low population densities as a result of their subsistence system. Agricultural subsistence systems can support population densities 60 to 100 times greater than land left uncultivated, resulting in denser populations. Hunter-gatherer societies also tend to have non-hierarchical social structures, though this is not always the case. Because hunter-gatherers tend to be nomadic, they generally do not have the possibility to store surplus food. As a result, full-time leaders, bureaucrats, or artisans are rarely supported by hunter-gatherer societies.","अधिकतर शिकारी  गाथेरेर सोसाइटियाँ यायावर हैं . यह  व्यवस्थित अन्तर्गत ऐसी निर्वाह प्रणाली होने के लिये कठिन है क्योंकि एक के संसाधन जो क्षेत्र ने जल्दी से हो जा सकते हैं समाप्त किया . शिकारी  गाथेरेर सोसाइटियाँ भी अपना निर्वाह के सिस्टम का इसके परिणामस्वरूप बहुत निम्न जनसंख्या की सघनता  लेने के लिये झुकती हैं . कृषि निर्वाह की प्रणालियाँ जनसंख्या की सघनता 60 से 100 तक बार बड़ा सहारा दे सकती हैं बजाय कि भूमि गहन जनसंख्या को परिणत होती हुई अपरिष्कृत गई . शिकारी  गाथेरेर सोसाइटियाँ भी गैर  अधिक्रमिक सामाजिक ढाँचे लेने के लिये झुकती हैं , यद्यपि यह हमेशा केस नहीं है . क्योंकि शिकारी  गाथेरेर्स यायावर होने के लिये झुकता है , इसलिये उनमें सामान्यतः अतिरिक्त खाने का संग्रह करने की सम्भावना नहीं है . इसके परिणामस्वरूप , पूर्णकालिक नेता का नौकरशाह , या शिल्पी शिकारी  गाथेरेर सोसाइटियों के द्वारा कभी कभी सहारा दिया जाते हैं .","अधिकतर शिकारिय़ों- एकत्रित समूहों को यायावर कहते है। इस तरह की निर्वाह प्रणाली के अन्तर्गत व्य़वस्थित होना कठिन है क्योंकि एक जगह के संसाधन जल्दी ही समाप्त हो सकते हैं। शिकारी- एकत्रित समूह भी इसके परिणामस्वरूप अपने निर्वाह के लिए बहुत निम्न जनसंख्या की सघनता करते हैं। कृषि निर्वाह की प्रणालियाँ जनसंख्या की सघनता को 60 से 100 तक का सहारा दे सकती हैं बजाय कि भूमि गहन जनसंख्या को परिणत होती हुई अपरिष्कृत है। शिकारी- एकत्रित समूह भी गैर  अधिक्रमिक सामाजिक ढाँचे लेने के लिये झुकती हैं , यद्यपि यह हमेशा केस नहीं है . क्योंकि शिकारी- एकत्रित समूह होने के लिये झुकता है, इसलिये उनमें सामान्यतः अतिरिक्त खाने का संग्रह करने की सम्भावना नहीं होती। इसके परिणामस्वरूप, पूर्णकालिक नेता का नौकरशाह, या शिल्पी शिकारी- एकत्रित समूह के द्वारा कभी कभी सहारा दिया जाता है।",P07,P6,7,P
29,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).",,"सामाजिकता प्रासंगिक रूप से नया अकादमी शिष्टाचार है। यह आधुनिकता की चुनौतियों के प्रतिसाद में 19वीं सदी के आरंभ में उत्पन्न हुआ। बढ़ती हुई गतिशीलता और तकनीकी उन्नतियों के परिणामस्वरूप लोगों के अपनी स्वयं की संस्कृतियों और सोसाइटी से भिन्न संस्कृतियों और सोसाइटी से अनावरण में वृद्धि हुई। इस अनावरण का प्रभाव भिन्न था, लेकिन कुछ लोगों के लिए पारंपरिक नॉर्म और परंपराओं का विघटन शामिल था और इसकी एक संशोधित समझ की वारंटी थी कि दुनिया कैसे कार्य करती है। सामाजिकतावादियों ने यह समझने का प्रयास करके इन परिवर्तनों का प्रतिसाद किया कि सामाजिक समूहों का क्या साथ में रखता है और साथ ही सामाजिक सॉलिडेरिटी के विघटन के संभावित हलों का अन्वेषण भी किया। सामाजिकता शब्द वर्ष 1838 में ऑगस्टे कॉम्टे (1798-1857) द्वारा लातिन शब्द सोशियस (साथी, सहयोगी) और यूनानी शब्द लोगिया (इसका अध्ययन, वाक्) से लिया गया था।",P06,T5,6,T
